cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
conserved_protein.145	Cluster_4862	1	4862	1	FM211187.6687	PTS_system_IId_component__conserved_protein.145	conserved_protein.145__exported_glycosyl_hydrolase	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.6687
PTS_system_IId_component__conserved_protein.145	Cluster_4863	1	4863	1	FM211187.6687__FM211187.6688	PTS_system_IId_component	conserved_protein.145	unannotated											FM211187.6687__FM211187.6688
PTS_system_IId_component	Cluster_4864	1	4864	1	FM211187.6688	PTS_system_IIc_component	PTS_system_IId_component__conserved_protein.145	CDS				PTS system, IId component		PTS_system_IId_component	PTS system, IId component				FM211187.6688
PTS_system_IIc_component	Cluster_4865	1	4865	1	FM211187.6691	PTS_system_mannose-specific_IIAB_component__PTS_system_IIc_component	PTS_system_IId_component	CDS				PTS system, IIc component		PTS_system_IIc_component	PTS system, IIc component				FM211187.6691
PTS_system_mannose-specific_IIAB_component__PTS_system_IIc_component	Cluster_4866	1	4866	1	FM211187.6691__FM211187.6694	PTS_system_mannose-specific_IIAB_component	PTS_system_IIc_component	unannotated											FM211187.6691__FM211187.6694
PTS_system_mannose-specific_IIAB_component	Cluster_4867	1	4867	1	FM211187.6694	PTS_system_IIa_component	PTS_system_mannose-specific_IIAB_component__PTS_system_IIc_component	CDS				putative PTS system, mannose-specific IIAB component		PTS_system_mannose-specific_IIAB_component	putative PTS system, mannose-specific IIAB component				FM211187.6694
PTS_system_IIa_component	Cluster_4868	1	4868	1	FM211187.6696	fucU	PTS_system_mannose-specific_IIAB_component	CDS				PTS system, IIa component		PTS_system_IIa_component	PTS system, IIa component				FM211187.6696
fucU	Cluster_4869	1	4869	1	FM211187.6698	fucA__fucU	PTS_system_IIa_component	CDS		fucU		fuscose operon fucU protein		fuscose_operon_fucU_protein	fuscose operon fucU protein				FM211187.6698
fucA__fucU	Cluster_4870	1	4870	1	FM211187.6698__FM211187.6700	fucA	fucU	unannotated											FM211187.6698__FM211187.6700
fucA	Cluster_4871	1	4871	1	FM211187.6700	fucK__fucA	fucA__fucU	CDS		fucA		fuculose-1-phosphate aldolase		fuculose-1-phosphate_aldolase	fuculose-1-phosphate aldolase				FM211187.6700
fucK__fucA	Cluster_4872	1	4872	1	FM211187.6700__FM211187.6702	fucK	fucA	unannotated											FM211187.6700__FM211187.6702
fucK	Cluster_4873	1	4873	1	FM211187.6702	fucK__fucose_phosphotransferase_system_repressor	fucK__fucA	CDS		fucK		putative fuculokinase		fuculokinase	putative fuculokinase				FM211187.6702
fucK__fucose_phosphotransferase_system_repressor	Cluster_4874	1	4874	1	FM211187.6702__FM211187.6705	fucK	fucose_phosphotransferase_system_repressor	unannotated											FM211187.6702__FM211187.6705
fucose_phosphotransferase_system_repressor	Cluster_4875	1	4875	1	FM211187.6705	fucK__fucose_phosphotransferase_system_repressor	fucose_phosphotransferase_system_repressor__Cluster_4877	CDS				putative fucose phosphotransferase system repressor		fucose_phosphotransferase_system_repressor	putative fucose phosphotransferase system repressor				FM211187.6705
fucose_phosphotransferase_system_repressor__Cluster_4877	Cluster_4876	1	4876	1	FM211187.6705__FM211187.6709	fucose_phosphotransferase_system_repressor	Cluster_4877	unannotated											FM211187.6705__FM211187.6709
Cluster_4877	Cluster_4877	1	4877	1	FM211187.6709	Cluster_4879__Cluster_4877	fucose_phosphotransferase_system_repressor__Cluster_4877	repeat_region											FM211187.6709
Cluster_4879__Cluster_4877	Cluster_4878	1	4878	1	FM211187.6709__FM211187.6710	Cluster_4879	Cluster_4877	unannotated											FM211187.6709__FM211187.6710
Cluster_4879	Cluster_4879	1	4879	1	FM211187.6710	adcA__Cluster_4879	Cluster_4879__Cluster_4877	repeat_region											FM211187.6710
adcA__Cluster_4879	Cluster_4880	1	4880	1	FM211187.6710__FM211187.6711	adcA	Cluster_4879	unannotated											FM211187.6710__FM211187.6711
adcA	Cluster_4881	1	4881	1	FM211187.6711	ABC_transporter_permease_protein.11__adcA	adcA__Cluster_4879	CDS		adcA		zinc-binding protein AdcA precursor		zinc-binding_protein_AdcA_precursor	zinc-binding protein AdcA precursor				FM211187.6711
ABC_transporter_permease_protein.11__adcA	Cluster_4882	1	4882	1	FM211187.6711__FM211187.6716	ABC_transporter_permease_protein.11	adcA	unannotated											FM211187.6711__FM211187.6716
ABC_transporter_permease_protein.11	Cluster_4883	1	4883	1	FM211187.6716	ABC_transporter_ATP-binding_protein.31	ABC_transporter_permease_protein.11__adcA	CDS				ABC transporter permease protein		ABC_transporter_permease_protein	ABC transporter permease protein				FM211187.6716
ABC_transporter_ATP-binding_protein.31	Cluster_4884	1	4884	1	FM211187.6719	MarR-family_regulatory_protein	ABC_transporter_permease_protein.11	CDS				ABC transporter ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter ATP-binding protein				FM211187.6719
MarR-family_regulatory_protein	Cluster_4885	1	4885	1	FM211187.6722	dltD__MarR-family_regulatory_protein	ABC_transporter_ATP-binding_protein.31	CDS				MarR-family regulatory protein		MarR-family_regulatory_protein	MarR-family regulatory protein				FM211187.6722
dltD__MarR-family_regulatory_protein	Cluster_4886	1	4886	1	FM211187.6722__FM211187.6724	dltD	MarR-family_regulatory_protein	unannotated											FM211187.6722__FM211187.6724
dltD	Cluster_4887	1	4887	1	FM211187.6724	dltC	dltD__MarR-family_regulatory_protein	CDS		dltD		putative D-alanyl-lipoteichoic acid biosynthesis protein		D-alanyl-lipoteichoic_acid_biosynthesis_protein	putative D-alanyl-lipoteichoic acid biosynthesis protein				FM211187.6724
dltC	Cluster_4888	1	4888	1	FM211187.6730	dltB__dltC	dltD	CDS		dltC		D-alanyl carrier protein		D-alanyl_carrier_protein	D-alanyl carrier protein				FM211187.6730
dltB__dltC	Cluster_4889	1	4889	1	FM211187.6730__FM211187.6732	dltB	dltC	unannotated											FM211187.6730__FM211187.6732
dltB	Cluster_4890	1	4890	1	FM211187.6732	dltA	dltB__dltC	CDS		dltB		putative activated D-alanine transport protein		activated_D-alanine_transport_protein	putative activated D-alanine transport protein				FM211187.6732
dltA	Cluster_4891	1	4891	1	FM211187.6735	membrane_protein.141__dltA	dltB	CDS		dltA		D-alanine--poly(phosphoribitol) ligase subunit 1		D-alanine--polyphosphoribitol_ligase_subunit_1	D-alanine--poly(phosphoribitol) ligase subunit 1				FM211187.6735
membrane_protein.141__dltA	Cluster_4892	1	4892	1	FM211187.6735__FM211187.6740	membrane_protein.141	dltA	unannotated											FM211187.6735__FM211187.6740
membrane_protein.141	Cluster_4893	1	4893	1	FM211187.6740	Cluster_4895__membrane_protein.141	membrane_protein.141__dltA	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6740
Cluster_4895__membrane_protein.141	Cluster_4894	1	4894	1	FM211187.6740__FM211187.6742	Cluster_4895	membrane_protein.141	unannotated											FM211187.6740__FM211187.6742
Cluster_4895	Cluster_4895	1	4895	1	FM211187.6742	major_facilitator_family_transport_protein__Cluster_4895	Cluster_4895__membrane_protein.141	repeat_region											FM211187.6742
major_facilitator_family_transport_protein__Cluster_4895	Cluster_4896	1	4896	1	FM211187.6742__FM211187.6743	major_facilitator_family_transport_protein	Cluster_4895	unannotated											FM211187.6742__FM211187.6743
major_facilitator_family_transport_protein	Cluster_4897	1	4897	1	FM211187.6743	Group_II_intron.5__major_facilitator_family_transport_protein	major_facilitator_family_transport_protein__Cluster_4895	CDS				major facilitator family transport protein		major_facilitator_family_transport_protein	major facilitator family transport protein				FM211187.6743
Group_II_intron.5__major_facilitator_family_transport_protein	Cluster_4898	1	4898	1	FM211187.6743__FM211187.6747	Group_II_intron.5	major_facilitator_family_transport_protein	unannotated											FM211187.6743__FM211187.6747
Group_II_intron.5	Cluster_4899	1	4899	1	FM211187.6747	reverse_transcriptase-Group_II_intron_pseudogene	Group_II_intron.5__major_facilitator_family_transport_protein	transcript				Group II intron		Group_II_intron	Group II intron				FM211187.6747
reverse_transcriptase-Group_II_intron_pseudogene	Cluster_4900	1	4900	1	FM211187.6748.1	Cluster_4901	Group_II_intron.5	CDS				putative reverse transcriptase-Group II intron (pseudogene)		reverse_transcriptase-Group_II_intron_pseudogene	putative reverse transcriptase-Group II intron (pseudogene)				FM211187.6748.1
Cluster_4901	Cluster_4901	1	4901	1	FM211187.6748.2	Cluster_4902	reverse_transcriptase-Group_II_intron_pseudogene	CDS											FM211187.6748.2
Cluster_4902	Cluster_4902	1	4902	1	FM211187.6748.3	Cluster_4902__membrane_protein.142	Cluster_4901	CDS											FM211187.6748.3
Cluster_4902__membrane_protein.142	Cluster_4903	1	4903	1	FM211187.6748.3__FM211187.6751	Cluster_4902	membrane_protein.142	unannotated											FM211187.6748.3__FM211187.6751
membrane_protein.142	Cluster_4904	1	4904	1	FM211187.6751	Cluster_4902__membrane_protein.142	membrane_protein.142__protein.27	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6751
membrane_protein.142__protein.27	Cluster_4905	1	4905	1	FM211187.6751__FM211187.6753	membrane_protein.142	protein.27	unannotated											FM211187.6751__FM211187.6753
protein.27	Cluster_4906	1	4906	1	FM211187.6753	Cluster_4908__protein.27	membrane_protein.142__protein.27	CDS				hypothetical protein		protein	hypothetical protein				FM211187.6753
Cluster_4908__protein.27	Cluster_4907	1	4907	1	FM211187.6753__FM211187.6754	Cluster_4908	protein.27	unannotated											FM211187.6753__FM211187.6754
Cluster_4908	Cluster_4908	1	4908	1	FM211187.6754	Cluster_4909	Cluster_4908__protein.27	repeat_region											FM211187.6754
Cluster_4909	Cluster_4909	1	4909	1	FM211187.6755	glpF1__Cluster_4909	Cluster_4908	repeat_region											FM211187.6755
glpF1__Cluster_4909	Cluster_4910	1	4910	1	FM211187.6755__FM211187.6756	glpF1	Cluster_4909	unannotated											FM211187.6755__FM211187.6756
glpF1	Cluster_4911	1	4911	1	FM211187.6756	glpO__glpF1	glpF1__Cluster_4909	CDS		glpF1		glycerol uptake facilitator protein 1		glycerol_uptake_facilitator_protein_1	glycerol uptake facilitator protein 1				FM211187.6756
glpO__glpF1	Cluster_4912	1	4912	1	FM211187.6756__FM211187.6760	glpO	glpF1	unannotated											FM211187.6756__FM211187.6760
glpO	Cluster_4913	1	4913	1	FM211187.6760	glpK__glpO	glpO__glpF1	CDS		glpO		alpha-glycerophosphate oxidase		alpha-glycerophosphate_oxidase	alpha-glycerophosphate oxidase				FM211187.6760
glpK__glpO	Cluster_4914	1	4914	1	FM211187.6760__FM211187.6764	glpK	glpO	unannotated											FM211187.6760__FM211187.6764
glpK	Cluster_4915	1	4915	1	FM211187.6764	DNA-binding_protein.18__glpK	glpK__glpO	CDS		glpK		glycerol kinase		glycerol_kinase	glycerol kinase				FM211187.6764
DNA-binding_protein.18__glpK	Cluster_4916	1	4916	1	FM211187.6764__FM211187.6769	DNA-binding_protein.18	glpK	unannotated											FM211187.6764__FM211187.6769
DNA-binding_protein.18	Cluster_4917	1	4917	1	FM211187.6769	DNA-binding_protein.18__33_kDa_chaperonin_heat_shock_protein_33_homolog	DNA-binding_protein.18__glpK	CDS				putative DNA-binding protein		DNA-binding_protein	putative DNA-binding protein				FM211187.6769
DNA-binding_protein.18__33_kDa_chaperonin_heat_shock_protein_33_homolog	Cluster_4918	1	4918	1	FM211187.6769__FM211187.6771	DNA-binding_protein.18	33_kDa_chaperonin_heat_shock_protein_33_homolog	unannotated											FM211187.6769__FM211187.6771
33_kDa_chaperonin_heat_shock_protein_33_homolog	Cluster_4919	1	4919	1	FM211187.6771	DNA-binding_protein.18__33_kDa_chaperonin_heat_shock_protein_33_homolog	tRNA-dihydrouridine_synthase	CDS				33 kDa chaperonin (heat shock protein 33 homolog)		33_kDa_chaperonin_heat_shock_protein_33_homolog	33 kDa chaperonin (heat shock protein 33 homolog)				FM211187.6771
tRNA-dihydrouridine_synthase	Cluster_4920	1	4920	1	FM211187.6773	33_kDa_chaperonin_heat_shock_protein_33_homolog	tRNA-dihydrouridine_synthase__cbpA	CDS				putative tRNA-dihydrouridine synthase		tRNA-dihydrouridine_synthase	putative tRNA-dihydrouridine synthase				FM211187.6773
tRNA-dihydrouridine_synthase__cbpA	Cluster_4921	1	4921	1	FM211187.6773__FM211187.6777	tRNA-dihydrouridine_synthase	cbpA	unannotated											FM211187.6773__FM211187.6777
cbpA	Cluster_4922	1	4922	1	FM211187.6777	isoprenylcysteine_carboxyl_methyltransferase_ICMT___cbpA	tRNA-dihydrouridine_synthase__cbpA	CDS		cbpA		choline-binding surface protein A		choline-binding_surface_protein_A	choline-binding surface protein A				FM211187.6777
isoprenylcysteine_carboxyl_methyltransferase_ICMT___cbpA	Cluster_4923	1	4923	1	FM211187.6777__FM211187.6792	isoprenylcysteine_carboxyl_methyltransferase_ICMT_	cbpA	unannotated											FM211187.6777__FM211187.6792
isoprenylcysteine_carboxyl_methyltransferase_ICMT_	Cluster_4924	1	4924	1	FM211187.6792	two-component_system_sensor_histidine_kinase.2__isoprenylcysteine_carboxyl_methyltransferase_ICMT_	isoprenylcysteine_carboxyl_methyltransferase_ICMT___cbpA	CDS				isoprenylcysteine carboxyl methyltransferase (ICMT) family protein		isoprenylcysteine_carboxyl_methyltransferase_ICMT_	isoprenylcysteine carboxyl methyltransferase (ICMT) family protein				FM211187.6792
two-component_system_sensor_histidine_kinase.2__isoprenylcysteine_carboxyl_methyltransferase_ICMT_	Cluster_4925	1	4925	1	FM211187.6792__FM211187.6795	two-component_system_sensor_histidine_kinase.2	isoprenylcysteine_carboxyl_methyltransferase_ICMT_	unannotated											FM211187.6792__FM211187.6795
two-component_system_sensor_histidine_kinase.2	Cluster_4926	1	4926	1	FM211187.6795	two-component_system_response_regulator.2	two-component_system_sensor_histidine_kinase.2__isoprenylcysteine_carboxyl_methyltransferase_ICMT_	CDS				putative two-component system, sensor histidine kinase		two-component_system_sensor_histidine_kinase	putative two-component system, sensor histidine kinase				FM211187.6795
two-component_system_response_regulator.2	Cluster_4927	1	4927	1	FM211187.6800	two-component_system_response_regulator.2__Cluster_4929	two-component_system_sensor_histidine_kinase.2	CDS				putative two-component system, response regulator		two-component_system_response_regulator	putative two-component system, response regulator				FM211187.6800
two-component_system_response_regulator.2__Cluster_4929	Cluster_4928	1	4928	1	FM211187.6800__FM211187.6803	two-component_system_response_regulator.2	Cluster_4929	unannotated											FM211187.6800__FM211187.6803
Cluster_4929	Cluster_4929	1	4929	1	FM211187.6803	two-component_system_response_regulator.2__Cluster_4929	Cluster_4930	repeat_region											FM211187.6803
Cluster_4930	Cluster_4930	1	4930	1	FM211187.6804	Cluster_4929	Cluster_4931	repeat_region											FM211187.6804
Cluster_4931	Cluster_4931	1	4931	1	FM211187.6805	Cluster_4930	Cluster_4931__clpC	repeat_region											FM211187.6805
Cluster_4931__clpC	Cluster_4932	1	4932	1	FM211187.6805__FM211187.6806	Cluster_4931	clpC	unannotated											FM211187.6805__FM211187.6806
clpC	Cluster_4933	1	4933	1	FM211187.6806	ctsR__clpC	Cluster_4931__clpC	CDS		clpC		putative stress response-related Clp ATPase		stress_response-related_Clp_ATPase	putative stress response-related Clp ATPase				FM211187.6806
ctsR__clpC	Cluster_4934	1	4934	1	FM211187.6806__FM211187.6815	ctsR	clpC	unannotated											FM211187.6806__FM211187.6815
ctsR	Cluster_4935	1	4935	1	FM211187.6815	ABC_transporter_ATP-binding_protein.32__ctsR	ctsR__clpC	CDS		ctsR		transcriptional regulator		transcriptional_regulator	transcriptional regulator				FM211187.6815
ABC_transporter_ATP-binding_protein.32__ctsR	Cluster_4936	1	4936	1	FM211187.6815__FM211187.6818	ABC_transporter_ATP-binding_protein.32	ctsR	unannotated											FM211187.6815__FM211187.6818
ABC_transporter_ATP-binding_protein.32	Cluster_4937	1	4937	1	FM211187.6818	ABC_transporter_substrate-binding_protein	ABC_transporter_ATP-binding_protein.32__ctsR	CDS				ABC transporter, ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter, ATP-binding protein				FM211187.6818
ABC_transporter_substrate-binding_protein	Cluster_4938	1	4938	1	FM211187.6823	ABC_transporter_permease_protein.12__ABC_transporter_substrate-binding_protein	ABC_transporter_ATP-binding_protein.32	CDS				ABC transporter, substrate-binding protein		ABC_transporter_substrate-binding_protein	ABC transporter, substrate-binding protein				FM211187.6823
ABC_transporter_permease_protein.12__ABC_transporter_substrate-binding_protein	Cluster_4939	1	4939	1	FM211187.6823__FM211187.6828	ABC_transporter_permease_protein.12	ABC_transporter_substrate-binding_protein	unannotated											FM211187.6823__FM211187.6828
ABC_transporter_permease_protein.12	Cluster_4940	1	4940	1	FM211187.6828	conserved_protein.146__ABC_transporter_permease_protein.12	ABC_transporter_permease_protein.12__ABC_transporter_substrate-binding_protein	CDS				ABC transporter, permease protein		ABC_transporter_permease_protein	ABC transporter, permease protein				FM211187.6828
conserved_protein.146__ABC_transporter_permease_protein.12	Cluster_4941	1	4941	1	FM211187.6828__FM211187.6831	conserved_protein.146	ABC_transporter_permease_protein.12	unannotated											FM211187.6828__FM211187.6831
conserved_protein.146	Cluster_4942	1	4942	1	FM211187.6831	Thiamine_pyrophosphate_riboswitch.4__conserved_protein.146	conserved_protein.146__ABC_transporter_permease_protein.12	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.6831
Thiamine_pyrophosphate_riboswitch.4__conserved_protein.146	Cluster_4943	1	4943	1	FM211187.6831__FM211187.6834	Thiamine_pyrophosphate_riboswitch.4	conserved_protein.146	unannotated											FM211187.6831__FM211187.6834
Thiamine_pyrophosphate_riboswitch.4	Cluster_4944	1	4944	1	FM211187.6834	cbpD__Thiamine_pyrophosphate_riboswitch.4	Thiamine_pyrophosphate_riboswitch.4__conserved_protein.146	transcript				Thiamine pyrophosphate riboswitch		Thiamine_pyrophosphate_riboswitch	Thiamine pyrophosphate riboswitch				FM211187.6834
